R,Team,Fouls,Unprofessional,Dive,Other
1,Getafe,93,4,0,37
2,Espanyol,93,6,0,33
3,Levante,92,12,0,33
4,Granada,90,15,0,41
5,Rayo Vallecano,86,8,0,28
6,Eibar,83,4,0,23
7,Valencia,81,5,0,29
8,Real Sociedad,76,3,0,33
9,Sevilla,75,5,0,29
10,Villarreal,72,3,0,28
11,Sporting Gijon,72,6,0,31
12,Las Palmas,72,7,0,22
13,Real Betis,71,8,0,36
14,Atletico Madrid,71,5,0,17
15,Malaga,70,10,0,33
16,Celta Vigo,65,11,0,44
17,Athletic Bilbao,61,3,0,27
18,Real Madrid,57,1,0,18
19,Deportivo La Coruna,57,3,0,27
20,Barcelona,48,4,0,15
