R,Team,Left Side,Middle of the pitch,Right Side
1,Rayo Vallecano,41%,21%,38%
2,Atletico Madrid,41%,24%,35%
3,Malaga,40%,25%,35%
4,Real Sociedad,40%,21%,39%
5,Celta Vigo,39%,29%,31%
6,Levante,39%,26%,35%
7,Valencia,38%,26%,36%
8,Deportivo La Coruna,38%,23%,39%
9,Sevilla,38%,24%,37%
10,Las Palmas,38%,27%,35%
11,Eibar,37%,23%,40%
12,Sporting Gijon,37%,24%,39%
13,Granada,37%,24%,40%
14,Real Madrid,36%,29%,35%
15,Getafe,36%,21%,43%
16,Real Betis,35%,23%,42%
17,Barcelona,35%,31%,34%
18,Espanyol,35%,26%,39%
19,Villarreal,34%,26%,40%
20,Athletic Bilbao,32%,28%,40%
