R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Sporting Gijon,21,2,67,427
2,Atletico Madrid,16,1,77,413
3,Villarreal,25,1,73,412
4,Deportivo La Coruna,20,2,69,402
5,Real Betis,23,2,68,383
6,Getafe,21,2,63,383
7,Eibar,20,2,78,381
8,Espanyol,18,2,66,379
9,Levante,24,1,77,378
10,Granada,21,2,67,374
11,Athletic Bilbao,16,2,76,369
12,Real Madrid,16,1,56,362
13,Valencia,20,2,63,362
14,Las Palmas,20,2,60,359
15,Malaga,21,1,77,345
16,Sevilla,20,1,67,345
17,Real Sociedad,18,1,69,341
18,Celta Vigo,17,1,63,310
19,Rayo Vallecano,16,2,79,277
20,Barcelona,12,1,54,258
