R,Team,Left Side,Attempts from the middle,Right Side
1,Sevilla,24%,57%,19%
2,Atletico Madrid,22%,55%,23%
3,Celta Vigo,21%,63%,17%
4,Espanyol,21%,62%,18%
5,Rayo Vallecano,21%,66%,13%
6,Barcelona,21%,61%,18%
7,Villarreal,21%,61%,17%
8,Real Betis,20%,60%,20%
9,Las Palmas,20%,64%,16%
10,Levante,20%,62%,19%
11,Eibar,20%,64%,16%
12,Sporting Gijon,20%,63%,16%
13,Athletic Bilbao,19%,60%,21%
14,Malaga,19%,61%,21%
15,Real Madrid,17%,67%,16%
16,Deportivo La Coruna,17%,65%,18%
17,Real Sociedad,17%,68%,15%
18,Getafe,17%,66%,16%
19,Granada,17%,66%,16%
20,Valencia,15%,67%,18%
