R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Real Madrid,76,7,19,6,2
2,Barcelona,76,6,16,11,3
3,Atletico Madrid,47,3,11,1,1
4,Celta Vigo,39,5,3,4,0
5,Athletic Bilbao,37,3,14,3,1
6,Eibar,32,2,8,6,1
7,Sevilla,32,3,9,6,1
8,Real Sociedad,31,2,10,1,1
9,Rayo Vallecano,30,3,17,2,0
10,Villarreal,30,4,5,3,2
11,Sporting Gijon,29,4,5,1,1
12,Deportivo La Coruna,28,7,5,1,4
13,Valencia,27,1,11,4,3
14,Granada,26,6,6,7,1
15,Malaga,25,1,9,2,1
16,Las Palmas,25,1,12,4,3
17,Espanyol,23,4,10,1,2
18,Getafe,21,4,10,1,1
19,Levante,21,2,11,2,1
20,Real Betis,17,1,13,3,0
