Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Paris Saint-Germain,14.9,6.6,12.6,11,7.27
2. Lyon,14.7,5.4,11.2,14.4,6.96
3. Lille,12.6,4.1,11.1,15.5,6.90
4. Nice,10.2,4.2,12.3,12.9,6.90
5. Monaco,11.2,4.4,10,13.2,6.85
6. Bordeaux,11.6,3.8,12.1,13.2,6.85
7. Marseille,12.5,4.8,14.3,13.8,6.84
8. Montpellier,10.4,3.8,10.6,13.5,6.84
9. Rennes,11,4,11.9,10.9,6.80
10. Caen,12.4,4.6,8.3,11.7,6.78
11. Guingamp,10.5,3.6,7.4,14.7,6.77
12. Toulouse,11.3,4.2,10.6,14.4,6.76
13. Nantes,11.3,3.5,8.7,10.9,6.76
14. Saint-Etienne,11.5,3.6,6,11.6,6.75
15. Lorient,10.9,4,12.2,12.4,6.75
16. Angers,10.4,3.4,7.1,12.1,6.74
17. SC Bastia,8.7,2.9,8.5,12.6,6.72
18. Reims,11.5,4.2,8.6,13,6.71
19. GFC Ajaccio,11.6,3.2,5.9,10.2,6.67
20. Troyes,11.8,4,9,10.6,6.58
