R,Team,Left Side,Middle of the pitch,Right Side
1,Toulouse,42%,24%,34%
2,Lorient,41%,22%,36%
3,Montpellier,40%,24%,36%
4,Rennes,39%,25%,35%
5,SC Bastia,39%,25%,35%
6,Caen,39%,25%,36%
7,Angers,39%,27%,35%
8,Monaco,38%,24%,38%
9,Lille,38%,25%,37%
10,Marseille,37%,24%,39%
11,Bordeaux,37%,27%,36%
12,Saint-Etienne,36%,24%,40%
13,Reims,36%,21%,43%
14,GFC Ajaccio,36%,26%,38%
15,Paris Saint-Germain,35%,32%,33%
16,Guingamp,35%,26%,39%
17,Lyon,34%,27%,39%
18,Troyes,33%,23%,44%
19,Nantes,33%,24%,43%
20,Nice,32%,29%,39%
