R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Troyes,51,4,15,9,4
2,Lorient,44,0,11,3,0
3,Reims,42,3,9,2,1
4,GFC Ajaccio,40,1,8,5,4
5,Toulouse,37,0,17,0,1
6,Rennes,36,1,14,2,1
7,Caen,35,1,12,2,2
8,Guingamp,35,1,11,5,4
9,Montpellier,33,0,11,3,0
10,Bordeaux,31,3,15,5,3
11,SC Bastia,30,0,7,4,1
12,Monaco,29,1,18,1,1
13,Nantes,26,0,12,4,2
14,Lyon,24,2,12,2,3
15,Saint-Etienne,23,3,9,2,0
16,Marseille,23,1,9,6,3
17,Angers,23,0,10,4,1
18,Nice,22,1,12,4,2
19,Lille,19,1,5,2,0
20,Paris Saint-Germain,12,0,5,1,1
