R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Paris Saint-Germain,19,7,45,675
2,Nice,17,2,59,513
3,Lyon,17,3,60,507
4,Marseille,25,2,58,439
5,Rennes,17,1,65,400
6,Lorient,17,1,70,392
7,Bordeaux,21,1,68,377
8,Montpellier,20,2,72,371
9,Lille,21,1,59,367
10,Troyes,19,2,72,364
11,Saint-Etienne,21,1,68,363
12,Nantes,23,1,73,358
13,Monaco,23,1,58,357
14,Reims,20,1,66,345
15,Toulouse,20,1,59,341
16,GFC Ajaccio,20,1,81,329
17,Angers,16,0,63,323
18,SC Bastia,17,1,75,298
19,Guingamp,19,1,66,283
20,Caen,24,1,66,275
