R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Angers,22,2,62,468
2,Caen,20,1,68,457
3,SC Bastia,21,2,63,430
4,Guingamp,20,2,64,426
5,Lorient,21,2,65,418
6,Troyes,25,2,61,417
7,GFC Ajaccio,22,2,70,398
8,Monaco,19,2,68,394
9,Reims,19,2,67,394
10,Rennes,22,2,63,393
11,Toulouse,21,1,74,392
12,Montpellier,21,2,69,387
13,Nantes,19,2,70,381
14,Bordeaux,18,1,66,378
15,Nice,20,1,58,350
16,Lille,20,1,65,345
17,Saint-Etienne,20,1,66,343
18,Marseille,16,2,60,325
19,Paris Saint-Germain,16,1,55,299
20,Lyon,15,1,66,283
