R,Team,Left Side,Attempts from the middle,Right Side
1,Marseille,22%,64%,15%
2,Lille,22%,60%,19%
3,Lorient,20%,60%,21%
4,Rennes,20%,62%,18%
5,SC Bastia,20%,62%,18%
6,Nice,20%,63%,17%
7,Toulouse,19%,62%,19%
8,Caen,19%,60%,21%
9,Reims,19%,58%,23%
10,Troyes,18%,56%,27%
11,Montpellier,18%,69%,13%
12,Nantes,18%,66%,15%
13,GFC Ajaccio,18%,67%,16%
14,Monaco,17%,64%,19%
15,Guingamp,17%,68%,15%
16,Saint-Etienne,16%,66%,18%
17,Lyon,16%,62%,22%
18,Paris Saint-Germain,16%,71%,13%
19,Bordeaux,16%,66%,18%
20,Angers,16%,68%,16%
