Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Paris Saint-Germain,103,14.9,461,63.4,89.4,13.3,7.27
2. Lyon,69,14.7,673,58.9,83.6,16.7,6.96
3. Lille,39,12.6,816,50.9,77.7,18.5,6.90
4. Nice,56,10.2,666,56.2,84.6,14.8,6.90
5. Monaco,58,11.2,834,48.7,78.6,18.2,6.85
6. Bordeaux,52,11.6,827,50.7,79.3,20.5,6.85
7. Marseille,48,12.5,739,54.9,82.5,14.7,6.84
8. Montpellier,47,10.4,642,49.8,78.1,18.2,6.84
9. Rennes,51,11,673,50.2,79.6,16.9,6.80
10. Caen,38,12.4,526,42.3,70.3,22.6,6.78
11. Guingamp,49,10.5,776,44.5,73.7,18.6,6.77
12. Toulouse,45,11.3,7210,47.4,74.6,16.8,6.76
13. Nantes,32,11.3,805,49.0,77.0,19.4,6.76
14. Saint-Etienne,39,11.5,725,50.7,76.7,17.7,6.75
15. Lorient,47,10.9,647,49.6,79.9,13,6.75
16. Angers,40,10.4,706,43.8,75.4,17.5,6.74
17. SC Bastia,35,8.7,8410,44.8,72.9,18.3,6.72
18. Reims,45,11.5,816,48.0,76.3,18.2,6.71
19. GFC Ajaccio,38,11.6,906,47.6,73.6,19.2,6.67
20. Troyes,29,11.8,719,48.5,78.3,12.4,6.58
