Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Real Madrid,18.7,7.1,0.9,10.7,7.25
2. Barcelona,15.9,4.6,1.4,9.8,7.23
3. Atletico Madrid,12.5,4.7,0.9,6.9,7.09
4. Athletic Bilbao,12,4.2,0.8,7,6.84
5. Real Sociedad,12,4.4,0.9,6.7,6.83
6. Valencia,10.5,4.2,0.9,5.5,6.79
7. Villarreal,9,3.4,0.6,4.9,6.79
8. Celta Vigo,11.7,4.8,0.6,6.2,6.78
9. Malaga,11.9,4.9,0.8,6.2,6.77
10. Las Palmas,11,4.9,0.4,5.6,6.77
11. Sevilla,12.1,3.3,1.4,7.4,6.76
12. Real Betis,10.4,4.1,0.7,5.7,6.73
13. Deportivo La Coruna,12,5.8,0.7,5.5,6.71
14. Eibar,11,4.1,1,5.9,6.69
15. Rayo Vallecano,13.2,5.5,1.2,6.5,6.67
16. Sporting Gijon,9.8,3.7,0.8,5.3,6.65
17. Granada,11.3,5.6,0.6,5.2,6.63
18. Espanyol,10.3,3.3,0.7,6.3,6.62
19. Getafe,11.5,4.9,0.9,5.7,6.60
20. Levante,11.4,4.8,0.4,6.1,6.60
