Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Real Madrid,18.7,7.6,11.9,12.9,7.25
2. Barcelona,15.9,7,12.6,14.7,7.23
3. Atletico Madrid,12.5,4.4,11,11.5,7.09
4. Athletic Bilbao,12,4.3,6.1,12.5,6.84
5. Real Sociedad,12,4.1,7.7,15.2,6.83
6. Valencia,10.5,3.6,9.4,15.6,6.79
7. Villarreal,9,3.5,7,11.6,6.79
8. Celta Vigo,11.7,4.1,8.7,13.9,6.78
9. Malaga,11.9,4.4,6.5,12.3,6.77
10. Las Palmas,11,4.3,8.8,14.8,6.77
11. Sevilla,12.1,4.7,8,13.1,6.76
12. Real Betis,10.4,3.3,9.9,14.6,6.73
13. Deportivo La Coruna,12,4.1,6.4,11.4,6.71
14. Eibar,11,4,6.4,10.7,6.69
15. Rayo Vallecano,13.2,4.7,7,12.4,6.67
16. Sporting Gijon,9.8,3.2,8.3,11.7,6.65
17. Granada,11.3,3.4,8.6,13.3,6.63
18. Espanyol,10.3,3.9,8.7,12.9,6.62
19. Getafe,11.5,3.9,9.4,11.6,6.60
20. Levante,11.4,3.7,8.4,12.6,6.60
