Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Real Madrid,11.3,18.7,16.9,11.1,3.1,7.25
2. Barcelona,9.6,17.6,14.9,10.1,3.2,7.23
3. Atletico Madrid,9.7,24.6,20.2,13.3,2.2,7.09
4. Athletic Bilbao,10,21.2,20.5,13.2,2.4,6.84
5. Real Sociedad,11,19.3,22.8,12.3,2.3,6.83
6. Valencia,13.6,21.9,20.5,14.9,2.4,6.79
7. Villarreal,11.9,18.2,20.5,14.1,2.8,6.79
8. Celta Vigo,12.2,21.2,21.8,14,2.7,6.78
9. Malaga,10.7,19.4,19.7,14.6,2.2,6.77
10. Las Palmas,12.6,17.9,20.4,12.3,2.1,6.77
11. Sevilla,14.2,17.2,17.4,14.7,2.8,6.76
12. Real Betis,13.6,20.2,20.1,12.9,2.1,6.73
13. Deportivo La Coruna,10.8,20.2,21,10.6,2.2,6.71
14. Eibar,10.2,21.1,21.1,15.7,2.3,6.69
15. Rayo Vallecano,12.4,18.7,18.5,14.4,3.3,6.67
16. Sporting Gijon,14.2,20.4,19.6,13.8,2.1,6.65
17. Granada,11.5,19.9,18.9,15.4,2.4,6.63
18. Espanyol,12.9,20.9,18.6,17.2,2.6,6.62
19. Getafe,12.5,18.6,18.7,14,1.9,6.60
20. Levante,13.3,15.8,18.2,14.4,1.9,6.60
