R,Team,Left Side,Attempts from the middle,Right Side
1,Rayo Vallecano,25%,55%,21%
2,Celta Vigo,24%,59%,17%
3,Las Palmas,23%,64%,14%
4,Valencia,22%,61%,17%
5,Granada,22%,59%,20%
6,Espanyol,21%,62%,17%
7,Atletico Madrid,21%,66%,13%
8,Levante,21%,62%,18%
9,Real Sociedad,20%,65%,14%
10,Getafe,20%,59%,21%
11,Deportivo La Coruna,19%,58%,23%
12,Eibar,19%,65%,16%
13,Sporting Gijon,19%,62%,19%
14,Real Madrid,18%,64%,18%
15,Malaga,18%,65%,17%
16,Sevilla,17%,67%,16%
17,Villarreal,17%,59%,24%
18,Real Betis,16%,65%,19%
19,Barcelona,15%,72%,13%
20,Athletic Bilbao,14%,66%,19%
