R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Granada,52,0,11,4,2
2,Espanyol,48,4,14,6,2
3,Levante,48,8,6,5,3
4,Eibar,45,1,11,3,1
5,Sporting Gijon,42,1,12,6,1
6,Rayo Vallecano,40,10,14,7,2
7,Real Betis,39,4,8,0,1
8,Getafe,38,4,16,8,1
9,Las Palmas,38,4,7,3,1
10,Celta Vigo,37,2,15,3,2
11,Deportivo La Coruna,36,2,19,3,1
12,Real Sociedad,30,6,6,5,1
13,Sevilla,29,2,15,2,2
14,Valencia,28,3,13,2,1
15,Athletic Bilbao,24,4,9,6,2
16,Villarreal,24,3,5,2,1
17,Real Madrid,23,2,8,1,0
18,Malaga,19,3,9,1,3
19,Barcelona,19,5,2,1,2
20,Atletico Madrid,12,1,4,1,0
