R,Team,Own Third,Middle Third,Opposition Third
1,Valencia,30%,46%,25%
2,Sevilla,30%,41%,28%
3,Real Betis,29%,46%,24%
4,Levante,29%,45%,26%
5,Las Palmas,29%,49%,22%
6,Villarreal,29%,46%,25%
7,Rayo Vallecano,28%,44%,27%
8,Getafe,28%,46%,25%
9,Espanyol,28%,47%,25%
10,Sporting Gijon,28%,47%,24%
11,Granada,28%,47%,25%
12,Deportivo La Coruna,27%,46%,26%
13,Celta Vigo,26%,47%,26%
14,Malaga,26%,45%,29%
15,Real Sociedad,26%,45%,29%
16,Eibar,25%,46%,29%
17,Real Madrid,24%,46%,29%
18,Athletic Bilbao,24%,47%,29%
19,Atletico Madrid,24%,46%,30%
20,Barcelona,22%,45%,32%
