R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Barcelona,14,5,58,581
2,Real Madrid,24,2,58,507
3,Las Palmas,12,1,67,446
4,Celta Vigo,14,2,69,429
5,Atletico Madrid,20,2,59,394
6,Real Sociedad,25,2,68,367
7,Rayo Vallecano,26,1,75,366
8,Valencia,19,1,65,357
9,Villarreal,15,2,60,356
10,Athletic Bilbao,22,1,75,355
11,Sevilla,24,2,61,342
12,Deportivo La Coruna,19,1,81,331
13,Real Betis,18,1,66,323
14,Malaga,22,1,67,322
15,Levante,18,1,72,310
16,Espanyol,17,1,70,309
17,Getafe,19,1,67,305
18,Sporting Gijon,18,0,70,298
19,Eibar,22,1,84,286
20,Granada,17,1,75,278
