Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Bayern Munich,18.3,6.8,12.3,12,7.23
2. RB Leipzig,13,5.1,9.2,13.7,7.00
3. Borussia Dortmund,15.6,6,12.1,15.9,6.97
4. Hoffenheim,14.6,5.3,8.3,15.1,6.95
5. FC Koln,10.6,3.5,7.1,13.8,6.91
6. Schalke 04,13,4,8.6,12.9,6.86
7. Borussia M.Gladbach,12.1,4.3,8.4,13,6.83
8. Bayer Leverkusen,13.1,5.2,10.1,11.7,6.82
9. Werder Bremen,11.1,4.5,7.1,14.9,6.79
10. Hertha Berlin,10.2,3.7,7,14.1,6.75
11. Wolfsburg,12.7,4.2,7,14.1,6.73
12. Eintracht Frankfurt,11.2,3.6,8.4,13.7,6.73
13. Augsburg,10.9,3.7,5.1,12.9,6.72
14. Mainz 05,12.2,4.5,8.2,13.8,6.70
15. Ingolstadt,13.4,4.8,6,16,6.69
16. Freiburg,12,4.3,7.7,13.6,6.68
17. Hamburger SV,10.6,3.3,6.9,13.3,6.67
18. Darmstadt,10,2.8,5.6,13.1,6.58
