R,Team,Left Side,Middle of the pitch,Right Side
1,Hamburger SV,41%,27%,32%
2,Schalke 04,39%,23%,38%
3,Werder Bremen,38%,24%,38%
4,Eintracht Frankfurt,38%,26%,36%
5,Mainz 05,38%,26%,35%
6,Borussia Dortmund,37%,31%,32%
7,FC Koln,37%,27%,36%
8,Wolfsburg,36%,26%,38%
9,Augsburg,36%,25%,39%
10,Bayern Munich,35%,28%,37%
11,Hoffenheim,35%,30%,35%
12,Freiburg,35%,31%,34%
13,Bayer Leverkusen,34%,27%,39%
14,Darmstadt,34%,26%,39%
15,RB Leipzig,34%,26%,40%
16,Borussia M.Gladbach,33%,23%,43%
17,Ingolstadt,33%,25%,41%
18,Hertha Berlin,32%,29%,38%
