R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,FC Koln,9%,50%,41%
2,Werder Bremen,9%,55%,36%
3,RB Leipzig,9%,62%,29%
4,Bayern Munich,8%,55%,37%
5,Borussia Dortmund,8%,61%,31%
6,Hoffenheim,7%,48%,44%
7,Mainz 05,7%,51%,43%
8,Hertha Berlin,7%,53%,40%
9,Wolfsburg,6%,52%,42%
10,Bayer Leverkusen,6%,58%,36%
11,Borussia M.Gladbach,6%,61%,33%
12,Darmstadt,6%,53%,41%
13,Schalke 04,5%,60%,35%
14,Eintracht Frankfurt,5%,58%,36%
15,Freiburg,5%,50%,44%
16,Ingolstadt,5%,55%,40%
17,Hamburger SV,4%,56%,39%
18,Augsburg,3%,47%,50%
