Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Bayern Munich,8.9,16.5,19,10.6,2.6,7.23
2. RB Leipzig,10,21.4,22.3,15.4,3.4,7.00
3. Borussia Dortmund,10.3,17.2,16.3,12.1,2.4,6.97
4. Hoffenheim,12.2,17,19.5,15.1,2.4,6.95
5. FC Koln,14,20,21.2,13.9,2.8,6.91
6. Schalke 04,11.7,18.1,23,14.9,2.8,6.86
7. Borussia M.Gladbach,12.5,19.4,19.1,12.3,2.6,6.83
8. Bayer Leverkusen,11.6,20,20.4,14.1,2.2,6.82
9. Werder Bremen,15.4,17.5,20.8,14,1.7,6.79
10. Hertha Berlin,12.7,18.4,19.6,14.2,1.6,6.75
11. Wolfsburg,13.1,17.5,20.2,15.1,1.7,6.73
12. Eintracht Frankfurt,10.1,16.5,24.4,15.8,1.9,6.73
13. Augsburg,13.8,20,23.3,14.6,1.9,6.72
14. Mainz 05,12.5,18.3,22.9,14.5,3,6.70
15. Ingolstadt,12.1,19.1,21.2,16.3,2.2,6.69
16. Freiburg,14.7,18.2,16.6,13.1,1.7,6.68
17. Hamburger SV,12.9,21.8,21.3,16.6,2.3,6.67
18. Darmstadt,16,20.1,20,15.1,2.4,6.58
