R,Team,Left Side,Middle of the pitch,Right Side
1,Elche,42%,22%,35%
2,Real Betis,41%,27%,33%
3,Rayo Vallecano,41%,23%,36%
4,Atletico Madrid,39%,25%,36%
5,Granada,39%,25%,36%
6,Real Valladolid,38%,26%,36%
7,Real Madrid,37%,29%,34%
8,Osasuna,37%,26%,36%
9,Celta Vigo,36%,27%,37%
10,Malaga,36%,26%,37%
11,Getafe,36%,26%,38%
12,Valencia,35%,29%,35%
13,Sevilla,35%,28%,37%
14,Real Sociedad,34%,24%,42%
15,Villarreal,34%,26%,40%
16,Almeria,34%,27%,39%
17,Athletic Bilbao,33%,27%,41%
18,Barcelona,33%,33%,34%
19,Espanyol,32%,26%,42%
20,Levante,29%,29%,42%
