R,Team,Fouls,Unprofessional,Dive,Other
1,Getafe,95,6,2,29
2,Sevilla,87,5,3,29
3,Malaga,86,6,0,39
4,Elche,86,4,3,31
5,Levante,80,6,0,37
6,Osasuna,76,2,0,18
7,Real Valladolid,75,2,0,27
8,Real Betis,74,6,2,38
9,Rayo Vallecano,71,5,1,33
10,Espanyol,70,4,1,28
11,Granada,69,3,3,37
12,Almeria,66,4,1,33
13,Celta Vigo,63,7,1,17
14,Valencia,63,8,0,31
15,Atletico Madrid,63,9,3,25
16,Athletic Bilbao,60,4,2,17
17,Villarreal,55,3,1,19
18,Real Madrid,54,6,0,18
19,Real Sociedad,47,2,2,26
20,Barcelona,44,3,0,26
