Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Real Madrid,103,19.5,743,56.8,85.5,15.6,7.21
2. Barcelona,96,16.6,691,63.7,88.1,12.8,7.18
3. Atletico Madrid,77,13.2,933,49.1,77.0,17.7,7.05
4. Athletic Bilbao,65,13.3,764,53.0,77.0,20.8,6.94
5. Sevilla,67,12.6,1048,48.8,76.2,17.5,6.89
6. Real Sociedad,61,13,751,49.5,78.4,18.1,6.86
7. Celta Vigo,47,12.9,804,52.8,79.2,14.6,6.83
8. Valencia,51,13.6,914,53.4,80.7,16.1,6.82
9. Malaga,38,12.3,1148,49.2,77.0,17.2,6.80
10. Levante,35,9.4,1099,41.0,68.3,19.8,6.80
11. Villarreal,53,9.9,573,48.3,77.1,12,6.80
12. Espanyol,38,9.9,856,45.0,70.3,22.7,6.77
13. Granada,32,11.2,939,49.5,78.3,16.3,6.77
14. Real Valladolid,38,9.7,992,47.6,74.8,19.4,6.75
15. Osasuna,32,11.2,858,47.6,74.5,22.5,6.75
16. Almeria,43,10.4,955,45.3,73.0,16.8,6.74
17. Rayo Vallecano,46,13.9,978,56.8,79.8,16.3,6.73
18. Getafe,35,11.2,1138,45.5,70.5,21.3,6.72
19. Real Betis,36,13.1,1049,48.9,74.6,17.5,6.69
20. Elche,29,10.3,1098,47.7,73.8,14.6,6.64
