R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Real Betis,49,7,13,6,3
2,Almeria,49,0,13,8,1
3,Rayo Vallecano,48,8,15,5,2
4,Osasuna,42,3,12,3,2
5,Celta Vigo,39,4,10,0,1
6,Valencia,36,4,8,4,0
7,Real Sociedad,36,6,7,6,0
8,Real Valladolid,34,5,15,4,2
9,Granada,31,5,9,9,2
10,Elche,30,1,14,3,1
11,Sevilla,29,5,11,5,0
12,Getafe,28,6,16,2,2
13,Malaga,27,4,13,2,0
14,Levante,27,0,10,4,1
15,Real Madrid,23,3,7,5,0
16,Espanyol,23,4,16,2,1
17,Athletic Bilbao,22,2,11,2,1
18,Villarreal,20,3,9,4,1
19,Barcelona,15,4,10,2,1
20,Atletico Madrid,14,1,6,2,3
