Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Real Madrid,19.5,7.9,11.7,12.6,7.21
2. Barcelona,16.6,6.9,13.9,14.3,7.18
3. Atletico Madrid,13.2,5.2,8.2,13.7,7.05
4. Athletic Bilbao,13.3,4.9,9,14.3,6.94
5. Sevilla,12.6,4.1,8.4,11.5,6.89
6. Real Sociedad,13,4.9,7.2,13.3,6.86
7. Celta Vigo,12.9,4.5,9,11.9,6.83
8. Valencia,13.6,4.5,9,13.8,6.82
9. Malaga,12.3,4.1,7.3,12,6.80
10. Levante,9.4,3.2,5,14,6.80
11. Villarreal,9.9,3.7,6.9,11.6,6.80
12. Espanyol,9.9,3.2,6.2,11.5,6.77
13. Granada,11.2,3.4,12.7,12.4,6.77
14. Real Valladolid,9.7,3.2,6,10.9,6.75
15. Osasuna,11.2,3.5,5.8,11.8,6.75
16. Almeria,10.4,3.9,7.7,11.6,6.74
17. Rayo Vallecano,13.9,4.6,8.3,13.4,6.73
18. Getafe,11.2,3.5,7.6,13.1,6.72
19. Real Betis,13.1,4.2,7.4,12.6,6.69
20. Elche,10.3,3.3,6.4,12.9,6.64
