R,Team,Left Side,Attempts from the middle,Right Side
1,Athletic Bilbao,25%,60%,16%
2,Sevilla,24%,59%,18%
3,Levante,23%,59%,18%
4,Real Sociedad,22%,61%,16%
5,Espanyol,22%,60%,18%
6,Barcelona,21%,60%,19%
7,Elche,21%,58%,21%
8,Granada,21%,63%,16%
9,Getafe,21%,61%,19%
10,Real Betis,20%,64%,16%
11,Atletico Madrid,20%,60%,20%
12,Rayo Vallecano,20%,64%,16%
13,Real Valladolid,19%,65%,16%
14,Celta Vigo,19%,61%,20%
15,Malaga,19%,65%,16%
16,Real Madrid,18%,62%,20%
17,Valencia,18%,62%,20%
18,Osasuna,18%,63%,19%
19,Almeria,18%,66%,16%
20,Villarreal,16%,60%,24%
