Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Real Madrid,10.9,19.8,14.3,11.8,3.8,7.21
2. Barcelona,8.9,20.3,13.8,11.1,2.8,7.18
3. Atletico Madrid,8.9,24.1,15,13.7,3.4,7.05
4. Athletic Bilbao,11,23.1,15,12.6,2.1,6.94
5. Sevilla,12.6,19.6,17.9,14.5,3,6.89
6. Real Sociedad,13.9,17.3,13.5,11.9,2.1,6.86
7. Celta Vigo,13,22.1,14.7,13.4,1.8,6.83
8. Valencia,12.8,20.6,14.9,12.7,2.3,6.82
9. Malaga,10.9,21.1,16.1,14.7,2.3,6.80
10. Levante,16.7,18.5,18.3,17,1.9,6.80
11. Villarreal,9.2,18.3,14.8,11.6,2.9,6.80
12. Espanyol,11.1,20.2,17,14.8,1.5,6.77
13. Granada,13.9,19.4,14.5,14,2.4,6.77
14. Real Valladolid,14.2,20.7,16.2,13.6,2.7,6.75
15. Osasuna,14,20.2,17.7,13.1,2,6.75
16. Almeria,16.1,18.5,21.3,14.8,2.4,6.74
17. Rayo Vallecano,12.4,20.1,16.7,14.1,2.2,6.73
18. Getafe,14.2,19.4,16.4,14.9,2,6.72
19. Real Betis,11.7,19.2,18.2,14.3,2.2,6.69
20. Elche,11,19.6,12.6,13.8,1.8,6.64
