Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Real Madrid,19.5,7.8,1.1,10.6,7.21
2. Barcelona,16.6,5.9,1.1,9.7,7.18
3. Atletico Madrid,13.2,4,1.3,7.9,7.05
4. Athletic Bilbao,13.3,5.1,0.9,7.3,6.94
5. Sevilla,12.6,4.6,1,7.1,6.89
6. Real Sociedad,13,5.2,0.9,6.9,6.86
7. Celta Vigo,12.9,5.6,0.7,6.6,6.83
8. Valencia,13.6,5.7,0.8,7.1,6.82
9. Malaga,12.3,6.1,1.2,5.1,6.80
10. Villarreal,9.9,4,1.1,4.8,6.80
11. Levante,9.4,4.3,0.7,4.4,6.80
12. Granada,11.2,5.2,0.8,5.3,6.77
13. Espanyol,9.9,4.1,0.5,5.4,6.77
14. Osasuna,11.2,4.9,0.6,5.8,6.75
15. Real Valladolid,9.7,4.2,0.5,5.1,6.75
16. Almeria,10.4,5.2,0.5,4.7,6.74
17. Rayo Vallecano,13.9,6.6,0.7,6.6,6.73
18. Getafe,11.2,5.3,0.5,5.4,6.72
19. Real Betis,13.1,5.4,0.7,7.1,6.69
20. Elche,10.3,4.7,0.5,5.1,6.64
