R,Team,Left Side,Attempts from the middle,Right Side
1,Rennes,25%,55%,21%
2,Lorient,24%,53%,23%
3,Paris Saint-Germain,22%,61%,17%
4,Le Mans,21%,60%,19%
5,Lens,20%,64%,16%
6,Bordeaux,20%,54%,26%
7,Valenciennes,20%,63%,17%
8,Nice,20%,61%,18%
9,Grenoble,20%,60%,20%
10,Lille,20%,61%,19%
11,Auxerre,19%,61%,20%
12,Lyon,18%,65%,17%
13,Montpellier,18%,65%,18%
14,Marseille,18%,59%,23%
15,Boulogne,18%,60%,23%
16,Sochaux,17%,65%,18%
17,Toulouse,17%,62%,21%
18,Monaco,17%,63%,20%
19,Saint-Etienne,16%,63%,20%
20,Nancy,15%,61%,23%
