R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,West Ham,14%,55%,31%
2,Burnley,12%,49%,39%
3,Everton,11%,53%,36%
4,Tottenham,10%,51%,39%
5,West Bromwich Albion,8%,51%,42%
6,Sheffield United,8%,58%,34%
7,Arsenal,7%,56%,36%
8,Chelsea,7%,58%,34%
9,Liverpool,7%,60%,33%
10,Leeds,7%,61%,32%
11,Aston Villa,7%,59%,34%
12,Manchester City,7%,59%,34%
13,Leicester,6%,54%,40%
14,Crystal Palace,6%,58%,36%
15,Brighton,6%,59%,34%
16,Manchester United,5%,57%,38%
17,Newcastle United,5%,58%,37%
18,Wolverhampton Wanderers,5%,56%,39%
19,Fulham,5%,57%,38%
20,Southampton,4%,55%,41%
