R,Team,Left Side,Attempts from the middle,Right Side
1,Fulham,22%,63%,15%
2,Tottenham,20%,66%,13%
3,Aston Villa,20%,64%,16%
4,Crystal Palace,20%,68%,12%
5,Manchester United,19%,68%,14%
6,West Ham,19%,70%,12%
7,West Bromwich Albion,18%,70%,11%
8,Brighton,17%,71%,12%
9,Arsenal,16%,68%,15%
10,Leicester,16%,66%,18%
11,Chelsea,16%,68%,16%
12,Southampton,16%,72%,13%
13,Everton,16%,75%,9%
14,Sheffield United,16%,68%,16%
15,Liverpool,15%,72%,13%
16,Leeds,15%,70%,15%
17,Manchester City,15%,69%,16%
18,Newcastle United,13%,73%,14%
19,Wolverhampton Wanderers,12%,72%,17%
20,Burnley,12%,73%,15%
