R,Team,Left Side,Middle of the pitch,Right Side
1,Aston Villa,44%,24%,31%
2,Crystal Palace,44%,23%,33%
3,Manchester United,42%,25%,33%
4,Sheffield United,41%,21%,38%
5,Arsenal,40%,25%,36%
6,Southampton,40%,27%,33%
7,Everton,40%,27%,33%
8,Fulham,40%,25%,36%
9,West Bromwich Albion,40%,22%,38%
10,West Ham,39%,24%,37%
11,Manchester City,39%,28%,33%
12,Burnley,38%,28%,34%
13,Leeds,37%,24%,38%
14,Newcastle United,37%,25%,39%
15,Tottenham,37%,28%,35%
16,Brighton,37%,26%,37%
17,Chelsea,36%,27%,38%
18,Liverpool,36%,27%,36%
19,Leicester,35%,26%,39%
20,Wolverhampton Wanderers,34%,24%,42%
