R,Team,Fouls,Unprofessional,Dive,Other
1,Sheffield United,62,2,0,12
2,Leicester,56,2,0,3
3,Leeds,52,3,0,7
4,Manchester United,52,3,0,10
5,Newcastle United,51,4,0,11
6,Fulham,51,3,0,16
7,Aston Villa,50,6,0,15
8,Everton,50,1,0,10
9,Tottenham,48,1,0,8
10,Chelsea,46,1,0,6
11,Crystal Palace,44,7,0,6
12,Southampton,43,1,0,11
13,West Bromwich Albion,42,1,0,12
14,Arsenal,39,2,0,12
15,Wolverhampton Wanderers,39,5,0,11
16,Burnley,39,2,0,7
17,Brighton,39,0,0,14
18,Manchester City,37,0,0,11
19,West Ham,36,2,0,14
20,Liverpool,35,1,0,4
