Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Lyon,15.6,7.6,1,7,7.05
2. Marseille,15.7,7.2,1.1,7.5,7.02
3. Auxerre,10.6,4.7,0.4,5.5,6.98
4. Bordeaux,13.7,6.6,0.6,6.5,6.97
5. Lorient,12.2,5.2,0.5,6.6,6.96
6. Lille,15.3,6.5,1.2,7.6,6.96
7. Valenciennes,11.8,5.4,0.7,5.8,6.94
8. Monaco,12.6,6.1,0.4,6.1,6.88
9. Saint-Etienne,13.4,6.3,0.7,6.5,6.86
10. Rennes,13.8,6.2,0.9,6.8,6.85
11. Toulouse,12.6,5.9,0.7,6.1,6.85
12. Nancy,12.3,5.6,0.7,6.1,6.83
13. Lens,11.9,5.4,0.9,5.6,6.82
14. Montpellier,12.3,6.2,0.9,5.2,6.81
15. Nice,11.6,5.6,0.7,5.3,6.81
16. Paris Saint-Germain,13.3,5.6,0.8,6.9,6.80
17. Sochaux,11.4,5.6,0.7,5.2,6.76
18. Boulogne,9.3,4.3,0.6,4.4,6.69
19. Le Mans,11.2,4.9,0.8,5.5,6.68
20. Grenoble,12.1,6.1,0.6,5.4,6.66
