R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Lyon,41,0,18,3,2
2,Lille,40,4,16,10,2
3,Lorient,34,3,12,4,1
4,Paris Saint-Germain,33,6,7,3,1
5,Marseille,31,4,26,6,2
6,Toulouse,28,4,4,0,0
7,Auxerre,27,3,9,2,1
8,Bordeaux,27,1,20,5,5
9,Rennes,27,4,14,6,1
10,Nice,26,4,7,2,2
11,Le Mans,25,0,9,1,1
12,Nancy,24,7,10,4,1
13,Montpellier,24,4,15,6,1
14,Valenciennes,24,10,14,2,0
15,Lens,22,4,8,5,1
16,Grenoble,20,2,8,0,1
17,Boulogne,16,3,8,2,2
18,Monaco,15,3,14,3,4
19,Saint-Etienne,12,5,9,1,0
20,Sochaux,10,4,11,2,1
