Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Lyon,11.5,22,24.9,16.6,2.5,7.05
2. Marseille,9.3,19.4,19.8,15.8,1.9,7.02
3. Auxerre,11.5,21.4,20.4,13.4,2.6,6.98
4. Bordeaux,10.4,21,20.6,15.2,1.9,6.97
5. Lorient,13.7,21.3,23.1,13.4,1.8,6.96
6. Lille,10.6,21.4,19.6,16.8,2.7,6.96
7. Valenciennes,13,21.8,21,18.7,2.4,6.94
8. Monaco,13.7,22.2,20,17.8,2.8,6.88
9. Saint-Etienne,14.4,21.8,21,15.4,2.1,6.86
10. Toulouse,12.4,20.5,17.3,18.7,1.9,6.85
11. Rennes,12.1,20.8,15.1,15,2.8,6.85
12. Nancy,13.1,19.4,20.9,15.3,1.8,6.83
13. Lens,13.4,22.8,17.9,17.3,2.5,6.82
14. Montpellier,10.9,18.3,15.1,19.1,1.8,6.81
15. Nice,13.7,20.4,21.9,17.4,2.2,6.81
16. Paris Saint-Germain,12.8,20.1,18.4,15.8,2.2,6.80
17. Sochaux,13.9,18.3,15.4,15.2,1.6,6.76
18. Boulogne,15.8,22.6,21.6,15.7,1.2,6.69
19. Le Mans,14.1,21,15.9,17.6,2.1,6.68
20. Grenoble,12.2,20.7,17.8,14.8,2.4,6.66
