R,Team,Own Third,Middle Third,Opposition Third
1,Boulogne,32%,43%,24%
2,Sochaux,29%,45%,27%
3,Saint-Etienne,29%,44%,26%
4,Monaco,29%,42%,28%
5,Le Mans,29%,43%,28%
6,Valenciennes,29%,45%,26%
7,Lens,28%,44%,27%
8,Montpellier,28%,46%,26%
9,Nancy,27%,44%,28%
10,Toulouse,27%,45%,28%
11,Lorient,27%,45%,27%
12,Rennes,27%,45%,28%
13,Auxerre,27%,47%,25%
14,Grenoble,27%,46%,28%
15,Nice,27%,46%,27%
16,Paris Saint-Germain,26%,45%,29%
17,Lille,26%,43%,30%
18,Lyon,25%,46%,28%
19,Bordeaux,24%,47%,29%
20,Marseille,24%,47%,30%
