R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Grenoble,23,3,65,372
2,Boulogne,28,4,61,370
3,Auxerre,24,2,68,368
4,Nancy,23,3,61,360
5,Nice,23,4,57,357
6,Le Mans,25,3,64,354
7,Sochaux,23,3,63,353
8,Paris Saint-Germain,21,2,61,349
9,Saint-Etienne,21,2,60,338
10,Lorient,23,4,62,336
11,Lens,23,2,63,334
12,Valenciennes,23,3,57,322
13,Monaco,24,2,61,316
14,Rennes,24,3,61,307
15,Toulouse,22,2,60,306
16,Montpellier,20,2,61,304
17,Lyon,20,2,59,277
18,Lille,16,2,61,274
19,Bordeaux,18,3,55,272
20,Marseille,22,2,56,271
