R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bordeaux,21,3,59,400
2,Lyon,28,3,59,376
3,Marseille,24,3,55,362
4,Lille,25,3,58,355
5,Rennes,21,3,59,354
6,Saint-Etienne,23,5,57,342
7,Paris Saint-Germain,25,3,58,340
8,Sochaux,22,3,62,336
9,Montpellier,18,2,54,335
10,Lorient,21,4,63,331
11,Toulouse,21,2,55,330
12,Auxerre,24,3,65,327
13,Valenciennes,25,3,69,320
14,Grenoble,23,1,65,307
15,Le Mans,22,2,64,303
16,Boulogne,19,4,60,293
17,Lens,24,2,60,288
18,Monaco,22,3,64,287
19,Nancy,19,2,65,280
20,Nice,20,1,66,274
