R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Montpellier,8%,41%,52%
2,Lille,8%,49%,43%
3,Marseille,7%,47%,46%
4,Lens,7%,45%,47%
5,Lyon,7%,42%,51%
6,Le Mans,7%,46%,46%
7,Nancy,6%,48%,46%
8,Sochaux,6%,44%,50%
9,Paris Saint-Germain,6%,52%,42%
10,Valenciennes,6%,47%,47%
11,Nice,6%,44%,50%
12,Rennes,6%,48%,46%
13,Boulogne,6%,46%,48%
14,Saint-Etienne,5%,47%,48%
15,Toulouse,5%,47%,47%
16,Grenoble,5%,43%,52%
17,Lorient,4%,52%,44%
18,Auxerre,4%,50%,46%
19,Monaco,4%,46%,50%
20,Bordeaux,4%,47%,49%
