R,Team,Left Side,Middle of the pitch,Right Side
1,Auxerre,40%,20%,40%
2,Nancy,39%,24%,37%
3,Toulouse,39%,21%,39%
4,Valenciennes,39%,26%,36%
5,Lyon,38%,28%,34%
6,Monaco,38%,25%,37%
7,Sochaux,37%,23%,40%
8,Lorient,37%,24%,39%
9,Le Mans,37%,30%,32%
10,Boulogne,36%,27%,37%
11,Saint-Etienne,35%,28%,37%
12,Bordeaux,35%,29%,36%
13,Montpellier,35%,27%,37%
14,Nice,35%,27%,38%
15,Marseille,34%,31%,35%
16,Lille,34%,24%,42%
17,Lens,33%,24%,43%
18,Paris Saint-Germain,33%,30%,38%
19,Grenoble,31%,27%,42%
20,Rennes,29%,33%,39%
