R,Team,Left Side,Attempts from the middle,Right Side
1,Toulouse,24%,57%,19%
2,Nancy,22%,59%,19%
3,Sochaux,22%,56%,22%
4,Saint-Etienne,22%,58%,21%
5,Nice,22%,60%,19%
6,Lorient,21%,52%,28%
7,Valenciennes,21%,61%,18%
8,Paris Saint-Germain,20%,60%,21%
9,Lyon,20%,63%,17%
10,Monaco,19%,61%,20%
11,Bordeaux,19%,65%,17%
12,Rennes,19%,60%,21%
13,Grenoble,19%,57%,23%
14,Le Mans,19%,64%,16%
15,Lens,18%,61%,21%
16,Marseille,17%,69%,14%
17,Auxerre,17%,62%,21%
18,Lille,16%,65%,20%
19,Montpellier,15%,62%,23%
20,Boulogne,15%,65%,21%
