Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Lyon,64,15.6,643,54.8,77.4,10.5,7.05
2. Marseille,69,15.7,642,54.5,77.9,11.7,7.02
3. Auxerre,42,10.6,552,48.0,73.1,10.9,6.98
4. Bordeaux,58,13.7,656,56.1,80.5,11.9,6.97
5. Lorient,54,12.2,563,49.9,73.6,8.8,6.96
6. Lille,70,15.3,704,54.0,76.2,11.2,6.96
7. Valenciennes,50,11.8,723,50.2,75.0,11.6,6.94
8. Monaco,39,12.6,914,48.9,71.0,10.4,6.88
9. Saint-Etienne,27,13.4,624,50.6,75.5,10,6.86
10. Toulouse,36,12.6,735,50.6,75.2,11.2,6.85
11. Rennes,52,13.8,486,51.6,75.4,11.8,6.85
12. Nancy,46,12.3,646,46.9,69.8,10.6,6.83
13. Lens,40,11.9,602,47.5,73.9,10.1,6.82
14. Montpellier,50,12.3,826,51.0,74.2,9.6,6.81
15. Nice,41,11.6,715,46.7,73.8,8.9,6.81
16. Paris Saint-Germain,51,13.3,562,49.2,75.7,11.3,6.80
17. Sochaux,28,11.4,574,49.8,76.3,8.8,6.76
18. Boulogne,31,9.3,786,17.6,70.2,8.7,6.69
19. Le Mans,38,11.2,868,26.6,70.8,14.9,6.68
20. Grenoble,31,12.1,667,46.9,71.7,10.6,6.66
