Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Lyon,15.6,4.7,5.4,14.2,7.05
2. Marseille,15.7,5.4,7.4,18.2,7.02
3. Auxerre,10.6,3.9,6,14.7,6.98
4. Bordeaux,13.7,4.8,5.4,17.8,6.97
5. Lorient,12.2,4.2,6.3,15.1,6.96
6. Lille,15.3,5.7,8.2,17.3,6.96
7. Valenciennes,11.8,3.7,7.2,14.9,6.94
8. Monaco,12.6,4.2,6.4,17.6,6.88
9. Saint-Etienne,13.4,3.9,8.5,15.1,6.86
10. Toulouse,12.6,4.2,6.5,14.6,6.85
11. Rennes,13.8,4.7,6.3,13.3,6.85
12. Nancy,12.3,3.8,5.9,14.9,6.83
13. Lens,11.9,4,7.2,16.3,6.82
14. Montpellier,12.3,4.2,6.1,17.7,6.81
15. Nice,11.6,3.9,4.9,15.1,6.81
16. Paris Saint-Germain,13.3,5.1,6.2,13.8,6.80
17. Sochaux,11.4,3.7,8,14,6.76
18. Boulogne,9.3,3.1,4.9,12.9,6.69
19. Le Mans,11.2,4,5.1,13.7,6.68
20. Grenoble,12.1,4.1,4.6,17.2,6.66
