Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Manchester City,19.6,6.2,2,11.4,7.05
2. Liverpool,15.6,4.6,1.1,9.9,6.94
3. Leicester,14.2,5.3,1.2,7.7,6.87
4. Chelsea,16.4,5.6,1.3,9.6,6.86
5. Manchester United,14.3,6.4,0.8,7.1,6.83
6. Wolverhampton Wanderers,12.1,4.3,1.1,6.8,6.83
7. Tottenham,11.7,4.7,0.8,6.2,6.78
8. Burnley,10.2,3.2,1.5,5.4,6.74
9. Sheffield United,9.3,2.3,1,5.9,6.72
10. West Ham,11,3.4,1.1,6.4,6.72
11. Arsenal,10.7,3.3,1,6.4,6.71
12. Southampton,13.1,5.2,1.4,6.6,6.71
13. Everton,12.3,4,1.3,7,6.68
14. Crystal Palace,9.9,3.3,0.8,5.8,6.68
15. Newcastle United,10.5,4.6,0.5,5.4,6.65
16. Brighton,12.2,4.5,1.2,6.5,6.63
17. Aston Villa,12,4.4,1.1,6.5,6.62
18. Bournemouth,10.2,3.7,0.8,5.8,6.60
19. Watford,11.2,3.7,0.7,6.8,6.59
20. Norwich,10.8,4.3,0.7,5.8,6.52
