R,Team,Left Side,Middle of the pitch,Right Side
1,Crystal Palace,45%,23%,32%
2,Southampton,42%,24%,34%
3,Bournemouth,42%,24%,35%
4,West Ham,41%,24%,35%
5,Manchester United,41%,24%,35%
6,Burnley,41%,27%,32%
7,Norwich,41%,22%,36%
8,Newcastle United,40%,24%,36%
9,Brighton,40%,23%,37%
10,Manchester City,40%,27%,33%
11,Arsenal,39%,23%,38%
12,Chelsea,39%,26%,35%
13,Aston Villa,39%,24%,36%
14,Sheffield United,39%,20%,42%
15,Watford,38%,26%,36%
16,Liverpool,38%,26%,36%
17,Leicester,37%,24%,40%
18,Wolverhampton Wanderers,37%,21%,42%
19,Everton,37%,23%,40%
20,Tottenham,35%,28%,36%
