R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Burnley,15%,53%,32%
2,Everton,11%,57%,33%
3,Sheffield United,11%,64%,25%
4,West Ham,10%,59%,31%
5,Southampton,10%,50%,39%
6,Manchester City,10%,58%,32%
7,Brighton,10%,53%,37%
8,Arsenal,9%,60%,31%
9,Leicester,9%,54%,37%
10,Aston Villa,9%,54%,37%
11,Wolverhampton Wanderers,9%,56%,35%
12,Crystal Palace,9%,59%,33%
13,Chelsea,8%,58%,34%
14,Bournemouth,8%,56%,36%
15,Liverpool,7%,63%,30%
16,Tottenham,7%,53%,40%
17,Watford,6%,61%,33%
18,Manchester United,6%,49%,45%
19,Norwich,6%,54%,40%
20,Newcastle United,5%,51%,44%
