R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Manchester City,24,2,53,645
2,Liverpool,24,2,66,567
3,Chelsea,23,2,57,559
4,Manchester United,17,2,49,482
5,Leicester,21,2,55,473
6,Arsenal,18,2,53,444
7,Tottenham,17,2,55,439
8,Brighton,18,1,59,427
9,Norwich,13,1,59,404
10,Wolverhampton Wanderers,19,1,68,377
11,Everton,21,1,63,358
12,Southampton,18,1,67,349
13,West Ham,20,1,65,337
14,Bournemouth,17,1,56,337
15,Crystal Palace,16,1,58,334
16,Sheffield United,23,0,74,323
17,Watford,18,0,63,312
18,Aston Villa,21,0,63,307
19,Newcastle United,16,0,63,285
20,Burnley,20,1,73,271
