Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Manchester City,102,19.6,604,62.6,89.3,13.6,7.05
2. Liverpool,85,15.6,381,59.6,84.3,17.6,6.94
3. Leicester,67,14.2,413,55.1,82.8,17.8,6.87
4. Chelsea,69,16.4,600,57.9,85.2,18.7,6.86
5. Manchester United,66,14.3,730,54.6,83.6,15,6.83
6. Wolverhampton Wanderers,51,12.1,572,48.7,79.2,20.7,6.83
7. Tottenham,61,11.7,823,51.5,81.4,17.1,6.78
8. Burnley,43,10.2,670,43.9,70.0,25.5,6.74
9. West Ham,49,11,621,45.4,76.1,22.9,6.72
10. Sheffield United,39,9.3,612,44.4,74.4,25.3,6.72
11. Arsenal,56,10.7,865,52.9,83.6,13.5,6.71
12. Southampton,51,13.1,534,49.2,73.4,21.7,6.71
13. Everton,44,12.3,703,49.0,78.0,23.1,6.68
14. Crystal Palace,31,9.9,622,46.4,76.5,20.8,6.68
15. Newcastle United,38,10.5,663,41.8,75.3,19.8,6.65
16. Brighton,39,12.2,572,51.7,81.0,18.7,6.63
17. Aston Villa,41,12,681,45.7,76.9,19,6.62
18. Bournemouth,40,10.2,743,45.6,75.4,21.1,6.60
19. Watford,36,11.2,763,44.3,73.5,21.9,6.59
20. Norwich,26,10.8,683,49.8,80.5,14.1,6.52
