R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bournemouth,46,4,10,5,0
2,Norwich,45,6,17,4,3
3,Southampton,42,3,11,3,1
4,West Ham,41,3,10,5,3
5,Aston Villa,39,7,15,5,1
6,Brighton,36,4,10,2,2
7,Newcastle United,35,4,15,2,2
8,Watford,34,3,16,8,3
9,Tottenham,34,0,6,5,2
10,Crystal Palace,33,6,9,0,2
11,Burnley,32,6,7,4,1
12,Everton,30,5,15,3,3
13,Sheffield United,30,2,6,1,0
14,Wolverhampton Wanderers,28,1,9,1,1
15,Chelsea,27,8,14,2,3
16,Arsenal,25,1,15,7,0
17,Leicester,24,1,6,8,2
18,Manchester City,21,3,7,3,1
19,Liverpool,20,4,7,1,1
20,Manchester United,18,3,11,3,1
