R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Manchester City,73,4,17,6,2
2,Liverpool,51,10,17,5,2
3,Leicester,44,9,7,5,2
4,Chelsea,44,7,11,7,0
5,Manchester United,41,6,8,10,1
6,Arsenal,39,2,12,3,0
7,Tottenham,37,8,8,3,5
8,Southampton,36,2,11,2,0
9,Wolverhampton Wanderers,29,5,11,4,2
10,West Ham,28,3,14,4,0
11,Everton,27,3,11,1,2
12,Sheffield United,26,3,6,1,3
13,Newcastle United,23,1,14,0,0
14,Aston Villa,23,1,15,1,1
15,Burnley,23,2,13,3,2
16,Watford,21,3,4,7,1
17,Norwich,20,0,3,2,1
18,Brighton,20,2,12,1,4
19,Crystal Palace,18,1,7,3,2
20,Bournemouth,17,2,15,4,2
