R,Team,Own Third,Middle Third,Opposition Third
1,Norwich,35%,42%,23%
2,Arsenal,32%,42%,27%
3,Aston Villa,32%,41%,27%
4,Newcastle United,31%,46%,22%
5,Crystal Palace,31%,43%,26%
6,Bournemouth,30%,43%,27%
7,Tottenham,29%,46%,26%
8,Brighton,29%,43%,28%
9,Leicester,28%,44%,28%
10,Watford,28%,44%,28%
11,Wolverhampton Wanderers,28%,47%,26%
12,West Ham,28%,45%,27%
13,Everton,28%,43%,29%
14,Manchester United,27%,43%,30%
15,Burnley,27%,44%,29%
16,Sheffield United,26%,43%,32%
17,Southampton,25%,45%,30%
18,Chelsea,25%,45%,30%
19,Liverpool,23%,44%,33%
20,Manchester City,21%,43%,36%
