R,Team,Own Third,Middle Third,Opposition Third
1,Troyes,31%,43%,26%
2,SC Bastia,29%,48%,23%
3,Rennes,28%,46%,25%
4,Angers,28%,49%,23%
5,Guingamp,28%,45%,27%
6,Saint-Etienne,27%,45%,28%
7,Lorient,27%,49%,24%
8,Toulouse,26%,47%,28%
9,Caen,26%,46%,28%
10,Marseille,26%,48%,27%
11,Nantes,26%,46%,27%
12,GFC Ajaccio,26%,46%,27%
13,Lille,26%,46%,29%
14,Nice,26%,51%,22%
15,Monaco,25%,47%,28%
16,Paris Saint-Germain,25%,51%,24%
17,Montpellier,25%,49%,28%
18,Bordeaux,25%,49%,26%
19,Reims,25%,48%,27%
20,Lyon,22%,49%,29%
