R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Paris Saint-Germain,79,3,13,6,1
2,Lyon,47,1,15,3,1
3,Nice,43,2,5,5,3
4,Marseille,37,0,9,2,0
5,Rennes,35,1,9,3,4
6,Guingamp,32,2,10,2,1
7,Monaco,30,0,18,6,3
8,Lorient,29,0,10,7,1
9,Toulouse,28,1,10,4,2
10,Nantes,28,1,1,0,3
11,Bordeaux,28,0,19,1,2
12,Reims,27,0,14,2,1
13,Montpellier,25,2,17,2,3
14,Lille,25,2,8,3,1
15,GFC Ajaccio,24,1,8,3,1
16,SC Bastia,22,1,9,2,2
17,Saint-Etienne,21,0,15,3,3
18,Caen,20,4,9,5,1
19,Angers,18,1,17,4,0
20,Troyes,17,1,6,3,1
