R,Team,Own Third,Middle Third,Opposition Third
1,Deportivo Alaves,30%,46%,23%
2,Espanyol,30%,47%,23%
3,Villarreal,30%,46%,24%
4,Deportivo La Coruna,29%,46%,26%
5,Las Palmas,29%,48%,24%
6,Celta Vigo,28%,47%,25%
7,Osasuna,28%,47%,25%
8,Granada,28%,46%,26%
9,Valencia,27%,47%,26%
10,Real Betis,27%,47%,26%
11,Sevilla,27%,45%,28%
12,Malaga,27%,45%,27%
13,Sporting Gijon,27%,46%,27%
14,Atletico Madrid,26%,45%,29%
15,Real Sociedad,25%,45%,29%
16,Leganes,25%,47%,28%
17,Real Madrid,24%,47%,29%
18,Eibar,24%,45%,31%
19,Athletic Bilbao,23%,45%,32%
20,Barcelona,23%,45%,33%
