R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Real Madrid,10%,58%,32%
2,Atletico Madrid,10%,50%,41%
3,Barcelona,8%,60%,32%
4,Eibar,8%,50%,42%
5,Athletic Bilbao,7%,57%,36%
6,Valencia,7%,55%,37%
7,Sevilla,7%,60%,33%
8,Sporting Gijon,7%,55%,38%
9,Villarreal,7%,54%,39%
10,Malaga,6%,52%,42%
11,Osasuna,6%,56%,38%
12,Leganes,6%,50%,44%
13,Real Betis,5%,55%,40%
14,Celta Vigo,5%,51%,44%
15,Deportivo Alaves,5%,56%,39%
16,Real Sociedad,5%,54%,41%
17,Deportivo La Coruna,5%,53%,41%
18,Las Palmas,5%,51%,43%
19,Granada,5%,41%,54%
20,Espanyol,5%,58%,38%
