R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Barcelona,14,3,60,567
2,Las Palmas,12,1,61,491
3,Real Madrid,23,1,59,478
4,Sevilla,17,1,63,458
5,Real Sociedad,22,1,69,427
6,Celta Vigo,13,1,71,403
7,Atletico Madrid,17,1,62,395
8,Villarreal,13,1,66,394
9,Valencia,18,1,63,370
10,Athletic Bilbao,24,1,75,356
11,Malaga,21,1,61,347
12,Deportivo La Coruna,23,0,66,333
13,Real Betis,17,1,73,328
14,Espanyol,18,0,71,324
15,Sporting Gijon,18,0,67,313
16,Deportivo Alaves,17,1,74,312
17,Granada,16,1,69,311
18,Leganes,17,1,76,298
19,Eibar,24,0,88,296
20,Osasuna,17,0,76,252
