Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Barcelona,116,17.1,731,62.1,86.7,9.1,7.19
2. Real Madrid,106,17.4,752,54.8,86.5,12.8,7.14
3. Atletico Madrid,70,13.3,803,49.0,78.9,16.1,7.02
4. Sevilla,69,12.8,1044,56.4,82.3,13.5,6.84
5. Villarreal,56,11.3,894,49.6,80.5,12.4,6.84
6. Athletic Bilbao,53,12.8,882,50.4,75.9,20.5,6.80
7. Valencia,56,11.8,1086,49.2,79.7,12.9,6.76
8. Deportivo Alaves,41,10.4,1165,46.2,76.4,18,6.76
9. Real Sociedad,59,13,796,54.8,81.0,14.6,6.76
10. Eibar,56,11.9,937,48.1,71.5,18.8,6.75
11. Espanyol,49,9,802,45.7,75.7,14.4,6.74
12. Malaga,49,12.9,1087,48.7,76.0,17.3,6.70
13. Deportivo La Coruna,43,12.1,934,47.8,77.7,15.8,6.69
14. Real Betis,41,11.6,1025,48.7,76.3,14.5,6.68
15. Celta Vigo,53,10.6,978,52.2,79.0,14.3,6.66
16. Las Palmas,53,11.6,996,56.9,84.8,10,6.63
17. Leganes,36,10.7,1053,45.9,71.3,18.9,6.62
18. Sporting Gijon,42,9.9,1144,45.6,72.6,15.2,6.58
19. Osasuna,40,10.3,983,41.8,69.2,17.1,6.51
20. Granada,30,10.1,1096,46.1,76.6,12.9,6.50
