R,Team,Left Side,Attempts from the middle,Right Side
1,Eibar,23%,59%,18%
2,Leganes,23%,61%,16%
3,Barcelona,22%,60%,18%
4,Villarreal,22%,60%,19%
5,Deportivo La Coruna,21%,62%,17%
6,Atletico Madrid,21%,62%,17%
7,Valencia,20%,63%,17%
8,Sevilla,20%,60%,20%
9,Sporting Gijon,20%,63%,17%
10,Real Madrid,19%,63%,17%
11,Athletic Bilbao,19%,65%,16%
12,Real Betis,19%,63%,19%
13,Espanyol,19%,63%,17%
14,Celta Vigo,19%,65%,17%
15,Real Sociedad,19%,61%,21%
16,Las Palmas,19%,64%,16%
17,Granada,18%,64%,18%
18,Osasuna,17%,68%,15%
19,Deportivo Alaves,16%,65%,20%
20,Malaga,15%,70%,15%
