R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Paris Saint-Germain,66,14,13,10,2
2,Lyon,53,5,7,5,0
3,Marseille,37,4,14,4,1
4,Saint-Etienne,36,0,15,5,3
5,Lille,35,10,10,11,2
6,Montpellier,33,3,11,3,3
7,Strasbourg,31,6,15,5,1
8,Nantes,30,4,6,6,2
9,Nimes,30,4,17,4,2
10,Reims,29,3,5,2,0
11,Rennes,27,6,12,7,3
12,Angers,27,1,9,5,2
13,Monaco,25,4,5,4,0
14,Bordeaux,22,3,4,5,0
15,Dijon,20,0,6,3,2
16,Amiens,19,1,8,2,1
17,Caen,16,2,7,4,0
18,Nice,16,2,5,5,2
19,Toulouse,14,0,14,7,0
20,Guingamp,14,2,7,5,0
