R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Angers,19,2,53,489
2,Reims,22,1,61,434
3,Guingamp,16,1,64,424
4,Caen,20,1,59,411
5,Montpellier,17,1,63,407
6,Strasbourg,19,1,54,396
7,Nimes,17,2,60,391
8,Dijon,18,1,59,389
9,Amiens,19,1,61,385
10,Bordeaux,20,1,60,383
11,Monaco,17,2,59,379
12,Toulouse,21,1,61,378
13,Nantes,17,1,62,362
14,Saint-Etienne,17,2,54,361
15,Rennes,18,1,58,361
16,Nice,19,2,56,361
17,Lille,18,1,57,359
18,Marseille,14,1,59,330
19,Lyon,15,1,55,299
20,Paris Saint-Germain,14,1,50,296
